,nome,localizacao,foto
155,Ingrid Mantonavi,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/018be55.jpg
156,Ivanise Gomes,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAg_AAAAJGYyMmM0NzM1LTEyZGYtNDFkMC04MmMwLTI5NTE5ZmM5OWQxMw.jpg
157,Izadora Ribeiro Perkoski,Campinas/SP,./Mulheres Palestrantes_files/b58009e9c7a0dee56bfb552e58f69ca8.jpeg
158,Izza Simões,São Paulo/SP,./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA5AAAAAJDRkZWIyZTA3LTg3ZTctNGNiZi04ODhlLTY2NGZiYTdjYjNhMQ.jpg
159,Jacqueline Yumi Asano,João Pessoa/PB,./Mulheres Palestrantes_files/24320336
160,Janine Saponara,Florianópolis/SC,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAvoAAAAJDgxMDczMjgwLWUwOTYtNDI1MS1hYzRlLThlYjU1ZTM5NTMzMg.jpg
161,Janynne Gomes,São Paulo/SP,./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAAoJAAAAJDEzNTE5YjY4LTBhMzEtNDcyNC04YWIwLTgxNTU2NDdkYWQ0Yg.jpg
162,Jeliel Mendes,Governador Valadares/MG,./Mulheres Palestrantes_files/4261484
163,Jennifer Payne,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
164,Jessica Temporal,Blumenau/SC,./Mulheres Palestrantes_files/35beca46843e4adcbd43df1bc93ce38b.jpeg
165,Jessilanny Nóbrega,Osasco/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
166,Josilene Santana,Campina Grande/PB,./Mulheres Palestrantes_files/placeholder-female.jpg
167,Joviane Jardim,Recife/PE,./Mulheres Palestrantes_files/2b1269b.jpg
168,Juciellen Cabrera,São Paulo/SP,./Mulheres Palestrantes_files/0b8df4309d2e40efce1208242c35a058
