link|titulo
https://revistaglamour.globo.com/Celebridades/noticia/2018/08/neymar-tranquiliza-fas-apos-deixar-de-seguir-marquezine-calma-gente.html|Neymar tranquiliza fãs após deixar de seguir  Bruna sem querer (Reprodução)
https://gshow.globo.com/programas/encontro-com-fatima-bernardes/noticia/paula-burlamaqui-diz-que-teve-sorte-no-inicio-da-carreira-eu-tava-na-praia-e-passou-um-cara-que-mudou-minha-vida.ghtml|Burlamaqui fala de sorte: 'Um cara passou e mudou minha vida' (TV Globo)
https://gshow.globo.com/|mais variedades
https://www.techtudo.com.br/noticias/2018/08/streets-of-rage-4-e-anunciado-e-tera-novo-estilo-grafico.ghtml|Após 24 anos, jogo clássico dos anos 90 está de volta (Divulgação)
https://www.techtudo.com.br/noticias/2018/08/rha-cl2-planar-e-o-primeiro-fone-planar-magnetico-sem-fio-do-mundo.ghtml|Fone traz tecnologia inédita no mundo para som perfeito (Divulgação/RHA)
https://www.techtudo.com.br/dicas-e-tutoriais/2018/08/como-criar-minifiguras-baseadas-em-seu-rosto-com-gboard.ghtml|App do Google transforma você em emoji muito real (Divulgação)
https://www.techtudo.com.br/noticias/2018/08/csgo-torneio-internacional-e-anunciado-com-premiacao-de-us-100-mil.ghtml|CS:GO dá prêmio de R$ 415 mil para jogadores; entenda (Divulgação)
https://extra.globo.com/tv-e-lazer/musica/com-musica-em-tempo-nao-para-elza-soares-diz-que-queria-ser-congelada-afirma-fui-mandada-terra-para-servir-de-licao-23016688.html|'É de colo e leite materno que a gente precisa', diz Elza (Foto: Bárbara Lopes)
https://revistamonet.globo.com/Musica/noticia/2018/08/grupo-de-k-pop-bts-quebra-recorde-de-visualizacoes-de-taylor-swift.html|Grupo de K-Pop BTS quebra recorde de Taylor Swift (Getty Images)
https://extra.globo.com/famosos/anitta-ganha-declaracao-de-maluma-apos-reatarem-amizade-eu-amo-23018626.html|Maluma se declara a Anitta após reatarem amizade (reprodução)
https://revistamonet.globo.com/Filmes/noticia/2018/08/atriz-fala-de-beijo-de-lingua-com-blake-lively-em-filme-procuramos-por-balinha.html|'Procuramos por balinha', diz  atriz sobre cena com Blake (Divulgação)
https://oglobo.globo.com/cultura/filmes/que-filme-deveria-representar-brasil-na-disputa-pelo-oscar-23015730|'O Globo' reúne favoritos para representar o Brasil no Oscar (Reprodução)
https://revistagalileu.globo.com/Cultura/noticia/2018/08/13-filmes-para-assistir-nos-cinemas-ainda-em-2018.html|Confira 13 filmes que ainda vão estrear até dezembro (Divulgação)
https://gshow.globo.com/novelas/orgulho-e-paixao/vem-por-ai/noticia/xavier-ameaca-susana-de-morte.ghtml|Xavier ameaça Susana a mando de Lady Margareth (divulgação)
https://gshow.globo.com/programas/caldeirao-do-huck/noticia/participante-que-chutou-resposta-no-quem-quer-ser-um-milionario-revela-medo-de-virar-meme.ghtml|Participante que errou diz que teve medo de viralizar (TV Globo)
https://gshow.globo.com/programas/mais-voce/Super-Chef-Celebridades/2018/noticia/francoise-forton-e-a-segunda-participante-a-deixar-o-super-chef.ghtml|Françoise Forton é segunda a deixar o 'Super Chef 2018' (TV Globo)
https://gshow.globo.com/novelas/malhacao/2018/vem-por-ai/noticia/maria-alice-tem-crise-de-ansiedade-apos-mensagem-de-rei.ghtml|Maria Alice tem crise de ansiedade após mensagem (TV Globo)
